Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
5.2349,0.0079682404
5.23495,0.020345226
5.235,0.028591771
5.23505,0.029805087
5.2351,0.025281679
5.23515,0.022281371
5.2352,0.01031743
5.23525,0.003602592
5.2353,0.00054204883
5.23535,-0.00017504192
5.2354,0.0003039747
5.23545,0.0048101731
5.2355,0.012376915
5.23555,0.016335255
5.2356,0.023141881
5.23565,0.025324704
5.2357,0.023879049
5.23575,0.015796002
5.2358,0.00646235
5.23585,-0.0041993554
5.2359,-0.011206766
5.23595,-0.015363024
5.236,-0.014083735
5.23605,-0.00981561
5.2361,-0.004110436
5.23615,0.0050597205
5.2362,0.015850503
5.23625,0.02489445
5.2363,0.028987603
5.23635,0.030413181
5.2364,0.028534403
5.23645,0.027605055
5.2365,0.022766124
5.23655,0.017439574
5.2366,0.0066717407
5.23665,-0.0049910233
5.2367,-0.012798708
5.23675,-0.020652285
5.2368,-0.018199835
5.23685,-0.015308524
5.2369,-0.012035722
5.23695,-0.0074951043
5.237,-0.0012707566
5.23705,0.0017869183
5.2371,0.006938498
5.23715,0.0025986652
5.2372,-0.0052922014
5.23725,-0.012821654
5.2373,-0.01838341
5.23735,-0.017302038
5.2374,-0.015305656
5.23745,-0.011327237
5.2375,-0.0061527104
5.23755,-0.0033818719
5.2376,-0.0036228141
5.23765,0.0008374902
5.2377,-0.0047127921
5.23775,-0.008957969
5.2378,-0.013673559
5.23785,-0.017935947
5.2379,-0.016995123
5.23795,-0.011123583
5.238,-0.0046238727
5.23805,-0.00047908843
5.2381,0.0010755643
5.23815,0.00028963288
5.2382,-0.0012019159
5.23825,-0.00045327313
5.2383,0.0038808233
5.23835,0.005682155
5.2384,0.0040902137
5.23845,0.0071105999
5.2385,0.012967797
5.23855,0.016599145
5.2386,0.018389003
5.23865,0.023554925
5.2387,0.029647328
5.23875,0.033949871
5.2388,0.035137374
5.23885,0.037885267
5.2389,0.038642514
5.23895,0.036823973
5.239,0.031138876
5.23905,0.022602629
5.2391,0.015916474
5.23915,0.010400613
5.2392,0.0054842383
5.23925,0.0040730038
5.2393,0.0027449518
5.23935,-0.0026188872
5.2394,-0.0062531028
5.23945,-0.013848528
