Data info
File name: C:\Users\LattePanda\Documents\ConditionPanda\Scripts\AutomationData\LattePanda20210325111337.dxd
Start time: 3/25/2021 11:13:39.118
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 2000


Data1

Time (s),AI 1 (V)
0.02405,-0.0445849597454071
0.02410,-0.0449219569563866
0.02415,-0.0453468635678291
0.02420,-0.0467153564095497
0.02425,-0.0479798205196857
0.02430,-0.0478538125753403
0.02435,-0.0490538105368614
0.02440,-0.0494464822113514
0.02445,-0.0495607666671276
0.02450,-0.0500340238213539
0.02455,-0.0502010583877563
0.02460,-0.0495050884783268
0.02465,-0.0493527092039585
0.02470,-0.0508120432496071
0.02475,-0.0510171726346016
0.02480,-0.0509043522179127
0.02485,-0.0519622229039669
0.02490,-0.0527109391987324
0.02495,-0.0530362129211426
0.02500,-0.0543651431798935
0.02505,-0.0548999421298504
0.02510,-0.0549058020114899
0.02515,-0.0549292452633381
0.02520,-0.055985651910305
0.02525,-0.056275762617588
0.02530,-0.0560735650360584
0.02535,-0.057272095233202
0.02540,-0.0571827180683613
0.02545,-0.0575050599873066
0.02550,-0.0568603724241257
0.02555,-0.0568515844643116
0.02560,-0.0569614730775356
0.02565,-0.0562552474439144
0.02570,-0.0563885793089867
0.02575,-0.0562215484678745
0.02580,-0.0562186166644096
0.02585,-0.0582552403211594
0.02590,-0.0614156685769558
0.02595,-0.0643929466605186
0.02600,-0.0671519115567207
0.02605,-0.0708808377385139
0.02610,-0.0745745971798897
0.02615,-0.0785482078790665
0.02620,-0.0825218185782433
0.02625,-0.0867782160639763
0.02630,-0.0918096974492073
0.02635,-0.0964045524597168
0.02640,-0.101592816412449
0.02645,-0.105619169771671
0.02650,-0.110423550009727
0.02655,-0.113434530794621
0.02660,-0.116019137203693
0.02665,-0.116659425199032
0.02670,-0.118448428809643
0.02675,-0.11882059276104
0.02680,-0.146756023168564
0.02685,-0.177533939480782
0.02690,-0.191854760050774
0.02695,-0.204325050115585
0.02700,-0.208559468388557
0.02705,-0.213527947664261
0.02710,-0.216404125094414
0.02715,-0.219831213355064
0.02720,-0.220213636755943
0.02725,-0.217727199196815
0.02730,-0.213885456323624
0.02735,-0.210367515683174
0.02740,-0.208330884575844
0.02745,-0.202644467353821
0.02750,-0.196757301688194
0.02755,-0.191577836871147
0.02760,-0.191686257719994
0.02765,-0.187741950154305
0.02770,-0.185041591525078
0.02775,-0.182563945651054
0.02780,-0.178713411092758
0.02785,-0.174374967813492
0.02790,-0.176120012998581
0.02795,-0.174921482801437
0.02800,-0.170457035303116
0.02805,-0.16892883181572
0.02810,-0.165410906076431
0.02815,-0.163509070873261
0.02820,-0.161512017250061
0.02825,-0.157500311732292
0.02830,-0.153657093644142
0.02835,-0.150013148784637
0.02840,-0.147355288267136
0.02845,-0.144386798143387
0.02850,-0.140732601284981
0.02855,-0.136559724807739
0.02860,-0.132823467254639
0.02865,-0.12775681912899
0.02870,-0.124678447842598
0.02875,-0.123019844293594
0.02880,-0.120180293917656
0.02885,-0.116338551044464
0.02890,-0.113724641501904
0.02895,-0.109503410756588
0.02900,-0.105156168341637
0.02905,-0.1015415340662
0.02910,-0.100904174149036
0.02915,-0.10122212022543
0.02920,-0.101860947906971
0.02925,-0.101206004619598
0.02930,-0.102784015238285
0.02935,-0.101787686347961
0.02940,-0.10344335436821
0.02945,-0.102449953556061
0.02950,-0.100827984511852
0.02955,-0.0989642515778542
0.02960,-0.0984690189361572
0.02965,-0.0985833033919334
0.02970,-0.0976250618696213
0.02975,-0.0971664562821388
0.02980,-0.0970023572444916
0.02985,-0.0982712134718895
0.02990,-0.103214785456657
0.02995,-0.108080700039864
0.03000,-0.11196494102478
0.03005,-0.11629019677639
0.03010,-0.120164178311825
0.03015,-0.122109957039356
0.03020,-0.124206654727459
0.03025,-0.125043272972107
0.03030,-0.126694560050964
0.03035,-0.125031560659409
0.03040,-0.120218388736248
0.03045,-0.111904866993427
0.03050,-0.107393525540829
0.03055,-0.0999503284692764
0.03060,-0.0938829481601715
0.03065,-0.0916206911206245
0.03070,-0.0822522267699242
0.03075,-0.0736192911863327
0.03080,-0.0658640041947365
0.03085,-0.0628178641200066
0.03090,-0.060955598950386
0.03095,-0.0588120147585869
0.03100,-0.0579109191894531
0.03105,-0.0522274225950241
0.03110,-0.0475534461438656
0.03115,-0.045210599899292
0.03120,-0.0424340516328812
0.03125,-0.0409849733114243
0.03130,-0.039316114038229
0.03135,-0.0369381010532379
0.03140,-0.0337981842458248
0.03145,-0.0316003933548927
0.03150,-0.0281469244509935
0.03155,-0.0253029782325029
0.03160,-0.0230978578329086
0.03165,-0.0204839482903481
0.03170,-0.0181630775332451
0.03175,-0.0160224251449108
0.03180,-0.0154466032981873
0.03185,-0.0138363530859351
0.03190,-0.0126729877665639
0.03195,-0.0117484489455819
0.03200,-0.010252483189106
0.03205,-0.00858215987682343
0.03210,-0.0073426035232842
0.03215,-0.00619975058361888
0.03220,-0.00430964771658182
0.03225,-0.00271990965120494
0.03230,-0.00164152518846095
0.03235,0.000485939643112943
0.03240,0.00232622609473765
0.03245,0.00583097524940968
0.03250,0.0107950596138835
0.03255,0.0178910046815872
0.03260,0.0283378548920155
0.03265,0.0330836251378059
0.03270,0.0452110543847084
0.03275,0.0559172406792641
0.03280,0.0652153789997101
0.03285,0.0769501328468323
0.03290,0.0835259333252907
0.03295,0.0915698632597923
0.03300,0.0988562852144241
0.03305,0.106239408254623
0.03310,0.113667950034142
0.03315,0.117818847298622
0.03320,0.123429089784622
0.03325,0.125763148069382
0.03330,0.12752577662468
0.03335,0.131159454584122
0.03340,0.131330892443657
0.03345,0.133748456835747
0.03350,0.134413659572601
0.03355,0.135448098182678
0.03360,0.135368973016739
0.03365,0.133172646164894
0.03370,0.13177190721035
0.03375,0.130292072892189
0.03380,0.129251778125763
0.03385,0.125080361962318
0.03390,0.124116264283657
0.03395,0.121842280030251
0.03400,0.119474522769451
0.03405,0.11585108935833
0.03410,0.115503840148449
0.03415,0.114441573619843
0.03420,0.114486992359161
0.03425,0.116125084459782
0.03430,0.116180762648582
0.03435,0.117077462375164
0.03440,0.115928746759892
0.03445,0.113782234489918
0.03450,0.112448908388615
0.03455,0.113511174917221
0.03460,0.115448161959648
0.03465,0.115240104496479
0.03470,0.115112632513046
0.03475,0.116485521197319
0.03480,0.118888445198536
0.03485,0.118999801576138
0.03490,0.119253277778625
0.03495,0.120835691690445
0.03500,0.122374147176743
0.03505,0.124138243496418
0.03510,0.124964609742165
0.03515,0.125278159976006
0.03520,0.125464245676994
0.03525,0.124695017933846
0.03530,0.12361516803503
0.03535,0.122771210968494
0.03540,0.12297048419714
0.03545,0.122063525021076
0.03550,0.120453275740147
0.03555,0.119339726865292
0.03560,0.117981486022472
0.03565,0.116938270628452
0.03570,0.115317761898041
0.03575,0.11530164629221
0.03580,0.115616664290428
0.03585,0.115714825689793
0.03590,0.116520687937736
0.03595,0.118791744112968
0.03600,0.120930925011635
0.03605,0.124296486377716
0.03610,0.127281084656715
0.03615,0.130775585770607
0.03620,0.134567514061928
0.03625,0.138271525502205
0.03630,0.142187997698784
0.03635,0.144820958375931
0.03640,0.147242918610573
0.03645,0.148891270160675
0.03650,0.150861948728561
0.03655,0.151253163814545
0.03660,0.150996759533882
0.03665,0.150243639945984
0.03670,0.149625331163406
0.03675,0.151978433132172
0.03680,0.152078062295914
0.03685,0.151484668254852
0.03690,0.152387231588364
0.03695,0.154907360672951
0.03700,0.156464859843254
0.03705,0.157528594136238
0.03710,0.159541770815849
0.03715,0.161087557673454
0.03720,0.160378411412239
0.03725,0.15970441699028
0.03730,0.158999651670456
0.03735,0.158554241061211
0.03740,0.157053872942925
0.03745,0.155981346964836
0.03750,0.153407007455826
0.03755,0.150359392166138
0.03760,0.149417266249657
0.03765,0.14733375608921
0.03770,0.14548322558403
0.03775,0.144442930817604
0.03780,0.142212897539139
0.03785,0.138447344303131
0.03790,0.11790969222784
0.03795,0.0974233224987984
0.03800,0.0871200636029244
0.03805,0.0791830942034721
0.03810,0.0761516019701958
0.03815,0.0735494121909142
0.03820,0.0706717669963837
0.03825,0.0690380707383156
0.03830,0.068381667137146
0.03835,0.0661457777023315
0.03840,0.0651347935199738
0.03845,0.0641604363918304
0.03850,0.062878392636776
0.03855,0.0616051331162453
0.03860,0.0599714405834675
0.03865,0.0587260238826275
0.03870,0.0568769462406635
0.03875,0.0562439821660519
0.03880,0.0561765804886818
0.03885,0.0547480136156082
0.03890,0.0541472844779491
0.03895,0.0538132190704346
0.03900,0.0524315387010574
0.03905,0.0511612147092819
0.03910,0.0519465617835522
0.03915,0.0526791587471962
0.03920,0.0531993024051189
0.03925,0.0540227442979813
0.03930,0.0552593693137169
0.03935,0.0563817098736763
0.03940,0.0562088154256344
0.03945,0.056580975651741
0.03950,0.0556696243584156
0.03955,0.0534527823328972
0.03960,0.0510498620569706
0.03965,0.0479070134460926
0.03970,0.0456769876182079
0.03975,0.0445443876087666
0.03980,0.0436183847486973
0.03985,0.0414821282029152
0.03990,0.040745135396719
0.03995,0.041858684271574
0.04000,0.043326810002327
0.04005,0.0445033647119999
0.04010,0.0461546406149864
0.04015,0.0474352203309536
0.04020,0.0482601262629032
0.04025,0.0489971190690994
0.04030,0.0491626858711243
0.04035,0.0487670861184597
0.04040,0.0476198345422745
0.04045,0.0472769811749458
0.04050,0.0455172806978226
0.04055,0.0426660068333149
0.04060,0.0393238961696625
0.04065,0.0330865532159805
0.04070,0.0277708228677511
0.04075,0.0250426270067692
0.04080,0.024351054802537
0.04085,0.0240213852375746
0.04090,0.0203789081424475
0.04095,0.0196829400956631
0.04100,0.0206587612628937
0.04105,0.0219598542898893
0.04110,0.0226880572736263
0.04115,0.0223554577678442
0.04120,0.022162051871419
0.04125,0.0237122289836407
0.04130,0.0239979438483715
0.04135,0.0225239563733339
0.04140,0.0199364181607962
0.04145,0.0181019939482212
0.04150,0.0170690305531025
0.04155,0.0146690383553505
0.04160,0.0121708791702986
0.04165,0.0107686864212155
0.04170,0.00945293996483087
0.04175,0.00738115282729268
0.04180,0.00688591646030545
0.04185,0.00577969336882234
0.04190,0.00473793921992183
0.04195,0.00397310638800263
0.04200,0.00342951877973974
0.04205,0.00263684755191207
0.04210,0.00184857205022126
0.04215,0.00126542407087982
0.04220,0.000220739137148485
0.04225,-0.000382921687560156
0.04230,-0.00122540956363082
0.04235,-0.00222174287773669
0.04240,-0.00431697349995375
0.04245,-0.00734992977231741
0.04250,-0.00880633480846882
0.04255,-0.0108576091006398
0.04260,-0.0127125475555658
0.04265,-0.015005580149591
0.04270,-0.0181879866868258
0.04275,-0.0216399878263474
0.04280,-0.0261073708534241
0.04285,-0.0289366655051708
0.04290,-0.0310421511530876
0.04295,-0.0350304171442986
0.04300,-0.0380179509520531
0.04305,-0.0397923029959202
0.04310,-0.0424457751214504
0.04315,-0.0447798296809196
0.04320,-0.0461629778146744
0.04325,-0.0472325682640076
0.04330,-0.0492897070944309
0.04335,-0.0486626029014587
0.04340,-0.048795934766531
0.04345,-0.0501629635691643
0.04350,-0.0493922680616379
0.04355,-0.0497058220207691
0.04360,-0.0504428148269653
0.04365,-0.0501658916473389
0.04370,-0.049468457698822
0.04375,-0.0480779893696308
0.04380,-0.0480560101568699
0.04385,-0.0465292744338512
0.04390,-0.0450084023177624
0.04395,-0.0456530898809433
0.04400,-0.0451021753251553
0.04405,-0.0444838628172874
0.04410,-0.0438406392931938
0.04415,-0.0450567528605461
0.04420,-0.0463783591985703
0.04425,-0.0474479533731937
0.04430,-0.0491241365671158
0.04435,-0.0495387874543667
0.04440,-0.050373949110508
0.04445,-0.0504281632602215
0.04450,-0.0493878722190857
0.04455,-0.0491197444498539
0.04460,-0.0501351244747639
0.04465,-0.050584938377142
0.04470,-0.0500955618917942
0.04475,-0.0507446452975273
0.04480,-0.0518435426056385
0.04485,-0.0525732114911079
0.04490,-0.0526787042617798
0.04495,-0.0531534291803837
0.04500,-0.0534200929105282
0.04505,-0.0536955520510674
0.04510,-0.0553951784968376
0.04515,-0.0561145879328251
0.04520,-0.0558962747454643
0.04525,-0.0553116612136364
0.04530,-0.056208360940218
0.04535,-0.0565556138753891
0.04540,-0.0564706325531006
0.04545,-0.0577585399150848
0.04550,-0.0584984645247459
0.04555,-0.0575314350426197
0.04560,-0.0567446239292622
0.04565,-0.055834736675024
0.04570,-0.0561688020825386
0.04575,-0.0558025017380714
0.04580,-0.0564120225608349
0.04585,-0.0583387576043606
0.04590,-0.0607548654079437
0.04595,-0.0636911168694496
0.04600,-0.0666977018117905
0.04605,-0.0695826709270477
0.04610,-0.07351965457201
0.04615,-0.0786639600992203
0.04620,-0.0830756649374962
0.04625,-0.0881496369838715
0.04630,-0.0932294726371765
0.04635,-0.0977012515068054
0.04640,-0.102501235902309
0.04645,-0.106348842382431
0.04650,-0.110649190843105
0.04655,-0.113106325268745
0.04660,-0.114825002849102
0.04665,-0.117394953966141
0.04670,-0.119509235024452
0.04675,-0.126177340745926
0.04680,-0.158990412950516
0.04685,-0.18183721601963
0.04690,-0.190376371145248
0.04695,-0.201302349567413
0.04700,-0.207538217306137
0.04705,-0.212071537971497
0.04710,-0.216376289725304
0.04715,-0.22028249502182
0.04720,-0.219341844320297
0.04725,-0.215078115463257
0.04730,-0.210943341255188
0.04735,-0.20838363468647
0.04740,-0.206632733345032
0.04745,-0.202870100736618
0.04750,-0.197875246405602
0.04755,-0.191988095641136
0.04760,-0.190823256969452
0.04765,-0.187782973051071
0.04770,-0.184933170676231
0.04775,-0.183970540761948
0.04780,-0.177832826972008
0.04785,-0.178332462906837
0.04790,-0.177548587322235
0.04795,-0.173421129584312
0.04800,-0.172180101275444
0.04805,-0.16726291179657
0.04810,-0.16349296271801
0.04815,-0.16290394961834
0.04820,-0.159413844347
