Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210304185416.dxd
Start time: 3/4/2021 18:54:20.320
Number of channels: 1
Sample rate: 5000
Store type: fast on trigger
Post time: 6000


Data1

Time (s),AI 1 - Prova (m/s2)
0.0834,-0.075053662
0.0836,0.080523476
0.0838,0.22440343
0.084,0.31617382
0.0842,0.32824102
0.0844,0.21263455
0.0846,0.008668121
0.0848,-0.17693217
0.085,-0.2792553
0.0852,-0.32916191
0.0854,-0.31821337
0.0856,-0.19918208
0.0858,0.0087914607
0.086,0.20629546
0.0862,0.30005366
0.0864,0.30020279
0.0866,0.25116813
0.0868,0.12933728
0.087,-0.067208685
0.0872,-0.24697186
0.0874,-0.33497611
0.0876,-0.30821142
0.0878,-0.19387273
0.088,-0.060011961
0.0882,0.10522296
0.0884,0.29495081
0.0886,0.36920702
0.0888,0.29437715
0.089,0.15387039
0.0892,-0.0068497229
0.0894,-0.16721129
0.0896,-0.29825243
0.0898,-0.3422474
0.09,-0.2576479
0.0902,-0.09693066
0.0904,0.076200858
0.0906,0.21825655
0.0908,0.31073543
0.091,0.31182539
0.0912,0.2241998
0.0914,0.060310129
0.0916,-0.15270884
0.0918,-0.28951541
0.092,-0.30957961
0.0922,-0.27492979
0.0924,-0.18752505
0.0926,-0.015340077
0.0928,0.1848774
0.093,0.3215549
0.0932,0.33791316
0.0934,0.25964129
0.0936,0.14121518
0.0938,-0.029271716
0.094,-0.21094522
0.0942,-0.32108462
0.0944,-0.3177143
0.0946,-0.21478882
0.0948,-0.065261066
0.095,0.10069955
0.0952,0.24441315
0.0954,0.33890277
0.0956,0.3208206
0.0958,0.16584007
0.096,-0.018825138
0.0962,-0.17810532
0.0964,-0.29305786
0.0966,-0.33137631
0.0968,-0.28959286
0.097,-0.1440808
0.0972,0.062736765
0.0974,0.23271881
0.0976,0.31542233
0.0978,0.31409714
0.098,0.23739138
0.0982,0.091879331
0.0984,-0.10003997
0.0986,-0.27215034
0.0988,-0.33408979
0.099,-0.27483228
0.0992,-0.1662389
0.0994,-0.024576204
0.0996,0.16192761
0.0998,0.30048102
0.1,0.33044681
0.1002,0.26164338
0.1004,0.11225332
0.1006,-0.061893608
0.1008,-0.21613696
0.101,-0.31779173
0.1012,-0.3359915
0.1014,-0.24383673
0.1016,-0.071895592
0.1018,0.11117194
0.102,0.24708645
0.1022,0.31555426
0.1024,0.31760514
0.1026,0.22804339
0.1028,0.029397778
0.103,-0.18317373
0.1032,-0.29919326
0.1034,-0.31704596
0.1036,-0.27970561
0.1038,-0.18381912
0.104,-0.00078026648
0.1042,0.22161253
0.1044,0.34052911
0.1046,0.32335049
0.1048,0.24669062
0.105,0.12488845
0.1052,-0.045403391
0.1054,-0.24021688
0.1056,-0.34247115
0.1058,-0.3119747
0.106,-0.18707183
0.1062,-0.034182355
0.1064,0.11535975
0.1066,0.2558493
0.1068,0.32979572
0.107,0.27836594
0.1072,0.11536548
0.1074,-0.073719874
0.1076,-0.21638365
0.1078,-0.3023915
0.108,-0.33805671
0.1082,-0.27341816
0.1084,-0.093781196
0.1086,0.10872522
0.1088,0.26311487
0.109,0.32913598
0.1092,0.30902588
0.1094,0.21846592
0.1096,0.062667921
0.1098,-0.14437053
0.11,-0.29962352
0.1102,-0.3291648
0.1104,-0.25994834
0.1106,-0.15368983
0.1108,-0.0057367976
0.111,0.18662423
0.1112,0.32491374
0.1114,0.33970588
0.1116,0.24312811
0.1118,0.10402972
0.112,-0.053879403
0.1122,-0.22892411
0.1124,-0.33078828
0.1126,-0.32426277
0.1128,-0.22237279
0.113,-0.048231594
0.1132,0.13193315
